1.000000 0.000000 
1.004847 0.017540 
1.009410 0.035249 
1.013684 0.053125 
1.017665 0.071162 
1.021350 0.089357 
1.024733 0.107704 
1.027811 0.126199 
1.030579 0.144838 
1.033034 0.163616 
1.035171 0.182529 
1.036987 0.201570 
1.038478 0.220735 
1.039639 0.240020 
1.040469 0.259418 
1.040962 0.278925 
1.041115 0.298535 
1.040925 0.318243 
1.040388 0.338043 
1.039502 0.357929 
1.038262 0.377897 
1.036666 0.397939 
1.034711 0.418051 
1.032394 0.438225 
1.029712 0.458457 
1.026661 0.478740 
1.023241 0.499068 
1.019447 0.519434 
1.015277 0.539832 
1.010730 0.560257 
1.005802 0.580700 
1.000492 0.601156 
0.994797 0.621618 
0.988716 0.642079 
0.982246 0.662533 
0.975386 0.682973 
0.968135 0.703391 
0.960490 0.723781 
0.952451 0.744136 
0.944015 0.764448 
0.935183 0.784711 
0.925952 0.804918 
0.916322 0.825060 
0.906292 0.845131 
0.895861 0.865123 
0.885030 0.885030 
0.873796 0.904842 
0.862161 0.924554 
0.850123 0.944157 
0.837683 0.963645 
0.824842 0.983008 
0.811598 1.002240 
0.797953 1.021333 
0.783907 1.040279 
0.769460 1.059071 
0.754614 1.077700 
0.739369 1.096159 
0.723726 1.114441 
0.707687 1.132536 
0.691253 1.150438 
0.674425 1.168138 
0.657205 1.185630 
0.639595 1.202903 
0.621597 1.219952 
0.603212 1.236768 
0.584443 1.253342 
0.565293 1.269668 
0.545763 1.285737 
0.525857 1.301542 
0.505577 1.317073 
0.484927 1.332325 
0.463908 1.347288 
0.442526 1.361955 
0.420783 1.376318 
0.398682 1.390369 
0.376228 1.404101 
0.353424 1.417506 
0.330274 1.430575 
0.306783 1.443302 
0.282955 1.455678 
0.258795 1.467697 
0.234306 1.479350 
0.209494 1.490630 
0.184365 1.501529 
0.158922 1.512041 
0.133171 1.522157 
0.107119 1.531871 
0.080770 1.541174 
0.054129 1.550061 
0.027204 1.558523 
-0.000000 1.566555 
-0.027477 1.574148 
-0.055220 1.581296 
-0.083223 1.587991 
-0.111479 1.594229 
-0.139982 1.600000 
-0.168724 1.605300 
-0.197698 1.610122 
-0.226897 1.614458 
-0.256314 1.618304 
-0.285941 1.621652 
-0.315770 1.624497 
-0.345794 1.626832 
-0.376004 1.628652 
-0.406392 1.629951 
-0.436951 1.630723 
-0.467671 1.630963 
-0.498545 1.630666 
-0.529562 1.629825 
-0.560716 1.628436 
-0.591996 1.626495 
-0.623393 1.623995 
-0.654899 1.620932 
-0.686504 1.617302 
-0.718198 1.613100 
-0.749973 1.608321 
-0.781817 1.602962 
-0.813722 1.597019 
-0.845677 1.590487 
-0.877673 1.583363 
-0.909698 1.575644 
-0.941744 1.567325 
-0.973799 1.558404 
-1.005853 1.548877 
-1.037895 1.538742 
-1.069914 1.527996 
-1.101901 1.516636 
-1.133843 1.504660 
-1.165730 1.492066 
-1.197550 1.478851 
-1.229293 1.465015 
-1.260948 1.450554 
-1.292501 1.435468 
-1.323944 1.419756 
-1.355263 1.403416 
-1.386447 1.386447 
-1.417485 1.368849 
-1.448365 1.350622 
-1.479074 1.331764 
